word,Seed,form,definition,definition_2,etymology,example,origin
raconteur,Rare,noun,A person who tells anecdotes in a skillful and amusing way.,A person skilled in telling stories,From French.,She was a brilliant raconteur.,French
rancor,Rare,noun,"Bitterness or resentfulness, especially when long-standing.",Deep-seated ill will or hatred,From Latin rancor ‘rankness’.,She answered her accusers calmly and without rancor.,Latin
rapt,Rare,,Completely fascinated or absorbed by what one is seeing or hearing.,,"From Latin raptus 'seized', past participle of rapere 'seize'.",,Latin
rapture,Uncommon,,A feeling of intense pleasure or joy.,,"From Latin raptus 'seized', past participle of rapere 'seize'.",,Latin
rarefied,Rare,adjective,"(Of air, especially that at high altitudes) of lower pressure than usual; thin; (of a subject or environment) only for or understood by a small number of people with specialized knowledge.","Made less dense (of air, especially that at high altitudes).","From Latin rarus ""thin, sparse"" + facere ""to make"".",The rarefied atmosphere of high academia intimidated first-generation students.,Latin
recalcitrant,Exotic,adjective,Showing strong resistance to authority or conventional behavior,Resistant to guidance or discipline; refusing to follow orders.,"From Latin recalcitrant-, ‘kicking out with the heels’.",The recalcitrant student refused to comply with the rules.,Latin
recondite,Exotic,adjective,(of a subject or knowledge) little known,"Dealing with abstruse or profound matters, accessible only to experts.","From Latin reconditus ""hidden, concealed"", past participle of recondere, from re- ""back"" + condere ""to put together"".",The professor's recondite lectures attracted only the most dedicated students.,Latin
reconnaissance,Uncommon,,Military observation of a region to locate an enemy or ascertain strategic features.,,"From French reconnaissance, from reconnaître 'recognize', from Latin recognoscere, from re- 'again' + cognoscere 'know'.",,French/Latin
redolent,Rare,adjective,Strongly reminiscent or suggestive of (something).,Strongly reminiscent or suggestive of.,"From Latin redolent-, from redolere ‘emit a scent’.",The air was redolent of pine needles.,Latin
relegate,Rare,verb,Assign an inferior rank or position to.,,"From Latin relegatus, past participle of relegare ""to send away, banish"", from re- ""back"" + legare ""to send"".",The once-popular singer was relegated to performing in small venues.,Latin
reminisce,Uncommon,,Indulge in enjoyable recollection of past events.,,"Back-formation from reminiscence, from Latin reminisci 'to remember', from re- 'again' + minisci 'to remember'.",,Latin
remonstrate,Rare,verb,Make a forcefully reproachful protest.,,"From medieval Latin remonstratus, past participle of remonstrare, from re- (expressing opposition) + monstrare ""to show"".",The teacher remonstrated with students who hadn't completed their assignments.,Latin
replete,Rare,adjective,Filled or well-supplied with something.,,"From Latin repletus ""filled up"", past participle of replere, from re- ""again"" + plere ""to fill"".",The museum was replete with artifacts from ancient civilizations.,Latin
reprobate,Exotic,,An unprincipled person.,,"From Latin reprobatus 'disapproved', past participle of reprobare, from re- 'back' + probare 'test, approve'.",,Latin
resounding,Uncommon,,Unmistakable; emphatic.,,"From Latin resonare 'sound again', from re- 'again' + sonare 'to sound'.",,Latin
reticent,Rare, adjective , Reluctant to share ones thoughts and feelings                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Not revealing one's thoughts or feelings readily.,"From Latin reticent- ""remaining silent"", from the verb reticere, from re- (expressing intensive force) + tacere ""be silent"".",The reticent witness revealed little during questioning.,Latin
ribald,Rare,adjective,Referring to sexual matters in an amusingly rude or irreverent way.,,"From Old French ribauld ""rogue, rascal"", from riber ""to be wanton"", of Germanic origin.",The comedian was known for ribald humor that shocked some audience members.,French
rigamarole,Rare,noun,an elaborate or complicated procedure ,A lengthy and complicated procedure.,"Alteration of ragman roll, a document with many seals, later used for a long list or catalog.",Applying for a permit involved a tedious rigamarole of paperwork.,Other
ripple,Uncommon,verb,Form or flow with small waves.,,From Old English ripel 'small wave.',The water rippled in the breeze.,Old English
roving,Uncommon,,Traveling constantly without a fixed destination; wandering.,,"From Middle Dutch roven 'to rob', from Middle Low German roven, of Germanic origin.",,Germanic
ruddy,Rare,,Having a healthy reddish color.,,"From Old English rudig, from rudu 'redness'.",,Old English
rustic,Uncommon,adjective,Relating to the countryside; rural.,,From Latin rusticus 'of the country.',They enjoyed a rustic cabin retreat.,Latin
sagacious,Rare,adjective,Having or showing keen mental discernment and good judgment; wise or shrewd.,Having or showing acute mental discernment and keen practical sense,"From Latin sagax, sagac- ‘wise’.",The sagacious leader guided the country through difficult times.,Latin
salacious,Exotic,adjective,Having or conveying undue or inappropriate interest in sexual matters.,Arousing or appealing to sexual desire or imagination.,"From Latin salax, salac- ""lustful"", from salire ""to leap"".",The tabloid published salacious details about the celebrity's private life.,Latin
salutary,Rare, adjective ," producing good effects; beneficial,(especially with reference to something unwelcome                                                                                                                                                                                                                                                                                                                                                                                      ",Producing a beneficial effect.,"From Latin salutaris ""health-giving"", from salus, salut- ""health"".",The economic downturn had the salutary effect of encouraging more prudent spending.,Latin
sardonic,Exotic,adjective,Grimly mocking or cynical.,Characterized by bitter or scornful derision; mocking.,"From French sardonique, from Latin sardonius, from Greek sardonios, possibly from a plant from Sardinia which was said to produce facial convulsions resembling a grin.",His sardonic smile suggested he didn't believe a word of the explanation.,Greek
sartorial,Rare,adjective,"Relating to tailoring, clothes, or style of dress.",,"From Latin sartor ""tailor"", from sarcire ""to patch, mend"".",His sartorial elegance made him stand out at the casual gathering.,Latin
satiate,Uncommon,,Satisfy (a desire or an appetite) to the full.,,"From Latin satiatus, past participle of satiare 'to satisfy', from satis 'enough'.",,Latin
saturnine,Rare,adjective,Slow and gloomy.,,From Latin saturninus ‘of Saturn’.,His saturnine disposition made him difficult to befriend.,Latin
saunter,Rare,,"Walk in a slow, relaxed manner, without hurry or effort.",,"Origin uncertain, possibly from Middle English santren 'to muse, be in a reverie'.",,Middle English
scallop,Rare,,An edible bivalve mollusk with a ribbed fan-shaped shell.,,"From Old French escalope 'shell', of Germanic origin.",,French/Germanic
scant,Rare,,Barely sufficient or adequate.,,,,
schadenfreude,Rare,noun,pleasure derived by someone from another person's misfortune.,Pleasure derived by someone from another person's misfortune.,"From German Schadenfreude, from Schaden ""harm"" + Freude ""joy"".",He felt a twinge of schadenfreude when his rival's business failed.,German
scurry,Uncommon,,Move hurriedly with short quick steps.,,,,
semantic,Rare, adjective ," The meaning of a word, phrase, sentence or text                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ",Relating to meaning in language or logic.,"From French sémantique, from Greek sēmantikos ""significant"", from sēmainein ""to show, signify"", from sēma ""sign"".",The debate devolved into a semantic argument about the definition of terms.,Greek
sentient,Rare,adjective,Able to perceive or feel things.,,"From Latin sentient- ""feeling"", from the verb sentire.",The novel explored the possibility of sentient artificial intelligence.,Latin
serene,Uncommon,adjective,"Calm, peaceful, and untroubled.","Calm, peaceful, and untroubled; tranquil.","From Latin serenus 'clear, unclouded.'",The lake was serene in the early morning.,Latin
sidle,Rare,verb,"Walk in a furtive, unobtrusive, or timid manner, especially sideways or obliquely.",To move sideways or obliquely.,From side + -le (frequentative suffix).,"He would sidle up to important people at parties, hoping to make connections.",Other
simulacrum,Exotic,noun,an image or representation of someone or something,An image or representation of someone or something.,"From Latin simulacrum ""likeness, image"", from simulare ""to copy, represent"".",The wax figure was an eerily accurate simulacrum of the historical figure.,Latin
skulk,Uncommon,,"Keep out of sight, typically with a sinister or cowardly motive.",,"From Old Norse skúlka 'to lurk, lie in wait'.",,Old Norse
slovenly,Rare,,Messy and dirty.,,,,
smoulder,Uncommon,,Burn slowly with smoke but no flame.,,"From Middle English smolder 'to suffocate', perhaps related to Dutch smeulen 'to smolder'.",,Middle English
snug,Uncommon,adjective,"Comfortable, warm, and cozy.","Comfortable, warm, and cozy; well protected from the weather or cold.",Origin unknown.,She felt snug under the blanket.,Other
soiree,Uncommon,,"An evening party or gathering, typically in a private house, for conversation or music.",,"From French soirée 'evening', from soir 'evening', from Latin sero 'at a late hour'.",,French/Latin
sojourn,Rare,,A temporary stay.,,"From Old French sojorner, from Latin sub- 'under' + diurnus 'of a day'.",,French/Latin
solicitude,Rare,noun,Care or concern for someone or something.,,"From Latin sollicitudo, from sollicitus ""anxious"", from sollus ""entire"" + citus ""aroused"".",The nurse showed great solicitude for her patients' comfort.,Latin
somatic,Rare,adjective,"Relating to the body, especially as distinct from the mind.",,"From Greek sōmatikos, from sōma ""body"".",The therapy addressed somatic symptoms of stress like muscle tension.,Greek
sophism,Rare,noun,"a clever but false argument, especially one used deliberately to deceive","A clever but false argument, especially one used deliberately to deceive.","late Middle English, from Old French sophime, via Latin from Greek sophisma ‘clever device’",His argument was a clever sophism that distracted from the real issue.,Greek
soporific,Rare,adjective,Tending to induce drowsiness or sleep.,A drug or other substance that induces sleep,"From French soporifique, from Latin sopor ‘sleep’.",The professor's soporific lecture made it hard to stay awake.,Latin
speck,Uncommon,,A small discoloration or spot.,,"From Middle English spekke, from Old English specca 'small spot, stain'.",,Old English
splendor,Uncommon,,Magnificent and splendid appearance; grandeur.,,"From Latin splendor, from splendere 'to shine, be bright'.",,Latin
spontaneous,Uncommon,,Performed or occurring as a result of a sudden inner impulse or inclination and without premeditation or external stimulus.,,,,
spry,Uncommon,adjective,"Active; lively, especially for one's age.",Active; lively.,Origin unknown.,The spry old man danced with the children.,Other
staid,Exotic,adjective,"Sedate, respectable, and unadventurous.",Characterized by dignity and propriety; sedate.,"Past participle of archaic stay ""to support"", from Middle English steyen, from Old French estayer, from estaye ""a prop"".",The staid banker never participated in office celebrations.,French
stolid,Rare,adjective,"Calm, dependable, and showing little emotion or animation.",,"From Latin stolidus ""dull, slow"".",The stolid security guard remained unmoved by the commotion.,Latin
stroll,Uncommon,verb,Walk in a leisurely way.,,"Origin unknown, perhaps from German strollen 'to loaf.'",They strolled through the park.,Other
stucco,Rare,,Fine plaster used for coating wall surfaces or molding into architectural decorations.,,,,
sturdy,Uncommon,adjective,Strongly and solidly built.,,From Old French estourdi 'dazed.',The sturdy table held all the dishes.,French
stygian,Rare,adjective,"Relating to the River Styx; extremely dark, gloomy, or forbidding.",,"From Latin Stygius, from Greek Stugios, from Stux, Stug- ""Styx"" (a river of the underworld).",The power outage left the building in stygian darkness.,Greek
sullen,Uncommon,,Bad-tempered and sulky; gloomy.,,"From Anglo-Norman French solein 'alone', from Latin solus 'alone'.",,French/Latin
supercilious,Exotic,adjective,Behaving or looking as though one thinks one is superior to others.,,"From Latin superciliosus ""haughty"", from supercilium ""eyebrow"" (as raised in arrogance).",The supercilious waiter looked down his nose at customers who ordered house wine.,Latin
surreptitious,Rare,adjective,"Kept secret, especially because it would not be approved of.","Kept secret, especially for improper purposes","From Latin surreptitius, from surripere ‘seize secretly’.",They carried on a surreptitious affair.,Latin
swarthy,Exotic,,Dark-skinned.,,"From Middle English swart 'black, dark', from Old English sweart, of Germanic origin.",,Old English/Germanic
swash,Exotic,,A body of rushing water.,,Imitative of the sound of water dashing against something.,,English
swoop,Uncommon,verb,Move rapidly downward through the air.,,From Middle English swopen 'to sweep.',The hawk swooped down on its prey.,Other
sycophant,Rare,noun,A person who acts obsequiously toward someone important in order to gain advantage.,One who attempts to win favor by flattering influential people,"From Greek sukophantes, originally ‘informer’.",The office sycophant was always flattering the boss.,Greek
systole,Exotic,,The phase of the heart's cycle during which the heart muscle contracts and pumps blood from the chambers into the arteries.,,,,
tableau,Rare,,A group of models or motionless figures representing a scene from a story or from history; a tableau vivant.,,"From French tableau 'picture', from Old French table 'table', from Latin tabula 'board, tablet'.",,French/Latin
taciturn,Rare,adjective,Reserved or uncommunicative in speech; saying little.,Temperamentally disinclined to talk,"From Latin taciturnus, from tacere ‘be silent’.","He was a taciturn man, but his actions spoke volumes.",Latin
tangle,Uncommon,verb,Twist together into a confused mass.,A confused mass of something twisted together.,From Old Norse tǫngull 'seaweed.',The wires were tangled behind the desk.,Other
tantalize,Rare,,Torment or tease (someone) with the sight or promise of something that is unobtainable.,,,,
tantamount,Rare,adjective,Equivalent in seriousness to; virtually the same as.,,From Italian tanto ‘so much’ + ammontare ‘to amount to’.,His silence was tantamount to an admission of guilt.,Italian
temerity,Exotic,noun,Excessive confidence or boldness; audacity.,,"From Latin temeritas, from temere ""rashly"".",He had the temerity to question the authority of the judge.,Latin
tenement,Rare,,A room or a set of rooms forming a separate residence within a house or block of apartments.,,"From medieval Latin tenementum, from tenere 'to hold'.",,Latin
tenuous,Rare,adjective,Very weak or slight.,Having little substance or strength,From Latin tenuis ‘thin’.,The link between them was tenuous.,Latin
terminus,Rare,,A final point in space or time; an end or extremity.,,"From Latin terminus 'end, boundary'.",,Latin
torpid,Rare,,Mentally or physically inactive; lethargic.,,"From Latin torpidus 'sluggish', from torpere 'to be stiff or numb'.",,Latin
treacle,Rare,noun,"A thick, sticky dark syrup made from partly refined sugar; cloying sentimentality or flattery.",Cloying sentimentality or flattery.,"From Middle English triacle ""antidote"", via Old French from Latin theriaca, from Greek thēriakē ""antidote against a poisonous bite"".",The film's treacle ending disappointed critics who preferred subtlety.,Greek
trenchant,Exotic,adjective,Vigorous or incisive in expression or style.,,"From Old French trenchant, from trencher ‘to cut’.",His trenchant remarks cut through the confusion.,French
troubadour,Uncommon,,"A French medieval lyric poet composing and singing in Provençal in the 11th to 13th centuries, especially on the theme of courtly love.",,"From French troubadour, from Provençal trobador, from trobar 'to find, compose'.",,French/Provençal
truancy,Exotic,noun,The action of staying away from school without good reason; absenteeism.,Deliberate absence from mandatory activities without permission.,"From truant, from Old French truant ""beggar, rogue"", probably from Celtic.",The school implemented a new policy to combat truancy.,French
truculent,Rare,adjective,Eager or quick to argue or fight; aggressively defiant.,,"From Latin truculentus, from trux ‘fierce’.",His truculent attitude alienated many people.,Latin
turbulent,Uncommon,,"Characterized by conflict, disorder, or confusion; not controlled or calm.",,"From Latin turbulentus, from turba 'crowd, disturbance'.",,Latin
turgid,Rare,adjective,swollen and distended or congested,Swollen and distended or congested.,"From Latin turgidus ""swollen"", from turgere ""to swell"".",The academic paper was written in turgid prose that obscured its meaning.,Latin
turpitude,Rare,adjective,depravity; wickedness,Depravity; wickedness.,"From Latin turpitudo ""baseness"", from turpis ""vile, base, shameful"".",The moral turpitude of the defendant was cited during sentencing.,Latin
twirl,Uncommon,verb,Spin quickly and lightly around.,Spin or rotate rapidly.,From Old French twirler 'to turn.',She twirled on the dance floor.,French
ubiquitous,Rare,adjective,"Present, appearing, or found everywhere.",,"From modern Latin ubiquitas, from Latin ubique ‘everywhere’.",Smartphones have become ubiquitous in modern society.,Latin
umbrage,Rare,noun,Offense or annoyance.,,From French ombrage ‘shade’.,She took umbrage at his remarks.,French
unalloyed,Rare,,Complete and unreserved.,,"From un- 'not' + alloyed, from alloy, from Old French aloi 'standard of metal', from aloier 'combine'.",,English/French
unctuous,Exotic,adjective,(Of a person) excessively or ingratiatingly flattering; oily.,Having a greasy or soapy feel (when referring to substances),"From late Latin unctuosus, from unctus ‘anointing’.",He seemed unctuous and insincere.,Latin
undulate,Rare,,Move with a smooth wavelike motion.,,,,
unrequited,Rare,,Not reciprocated or returned in kind.,,"From un- 'not' + requited, past participle of requite, from re- + obsolete quite 'to repay'.",,English
untrodden,Rare,,Not having been walked on or traversed.,,,,
upbeat,Uncommon,adjective,Cheerful; optimistic.,,From up + beat.,He is always upbeat about the future.,Other
usher,Uncommon,verb,Show or guide (someone) somewhere.,"A person who shows people to their seats, especially in a theater or at a wedding.",From Old French ussier 'doorkeeper.',He ushered us into the theater.,French
usurp,Rare,verb,Take (a position of power or importance) illegally or by force.,To take (a position of power or importance) illegally or by force.,"From Latin usurpare ""to take possession of without legal claim"".",The general attempted to usurp power from the elected government.,Latin
utter,Uncommon,verb,Make (a sound) with one's voice.,Complete; absolute.,Old English utera 'outer.',He uttered a sigh of relief.,Old English
vacillate,Rare,verb,Alternate or waver between different opinions or actions; be indecisive.,To waver between different opinions or actions; be indecisive.,"From Latin vacillat-, from vacillare ‘sway to and fro’.",She vacillated between the two options.,Latin
vault,Uncommon,verb,Jump over (an obstacle) in a single movement.,,From Old French volter 'to turn.',She vaulted over the fence.,French
vehement,Rare,,"Showing strong feeling; forceful, passionate, or intense.",,"From Latin vehementem 'impetuous, violent', perhaps from vehere 'to carry' + mens 'mind'.",,Latin
venal,Exotic,adjective,Showing or motivated by susceptibility to bribery; corrupt.,Susceptible to bribery or corruption.,"From Latin venalis ""for sale"", from venum ""sale"".",The venal official accepted bribes in exchange for contracts.,Latin
verisimilitude,Exotic,noun,The appearance of being true or real.,,"From Latin verisimilitudo, from verus ‘true’ + similis ‘like’.",The novel's verisimilitude made the story all the more compelling.,Latin
vestigial,Rare,adjective,Forming a very small remnant of something that was once much larger or more noticeable.,,"From Latin vestigium ""footprint, trace"".",The appendix is a vestigial organ with no known function.,Latin
vexatious,Rare, adjective ,"causing or tending to cause annoyance, frustration, or worry.","Causing or tending to cause annoyance, frustration, or worry.","From Latin vexare ""to shake, disturb, harass"".",The neighbor's vexatious complaints about noise disrupted community harmony.,Latin
vicariously,Rare, adjective , in a way that is experienced in the imagination through the actions of another person.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,Experienced in the imagination through the feelings or actions of another person.,"From Latin vicarius ""substitute"", from vicis ""change, alternation"".",The homebound traveler lived vicariously through travel documentaries.,Latin
vicissitude,Rare, noun      ," a change of circumstances or fortune, typically one that is unwelcome                                                                                                                                                                                                                                                                              ",A difficulty or hardship attendant on a way of life or career,"From Latin vicissitudo, from vicissim ""by turns"", from vicis ""change"".",,Latin
vicissitude,Rare,noun,"A change of circumstances or fortune, typically one that is unwelcome or unpleasant.",A difficulty or hardship attendant on a way of life or career,"From Latin vicissitudo, from vicissim ‘by turns’.",He endured the vicissitudes of a turbulent career.,Latin
vista,Uncommon,,A pleasing view.,,"From Italian vista 'view', from visto, past participle of vedere 'to see', from Latin videre.",,Italian/Latin
vitriol,Rare,noun,Bitter criticism or malice.,Cruel and bitter criticism.,"From Latin vitriolum ""sulfuric acid"", from vitrum ""glass"".",The political debate devolved into vitriol and personal attacks.,Latin
vociferous,Rare,adjective,Vehement or clamorous.,Expressing feelings or opinions in a very loud or forceful way,"From Latin vociferari, from vox ‘voice’ + ferre ‘carry’.",The vociferous crowd cheered for their team.,Latin
volition,Rare,,The faculty or power of using one's will.,,"From French, or from medieval Latin volitio(n-), from volo 'I wish'.",,French/Latin
wade,Uncommon,verb,Walk with effort through water or another substance.,Walk with effort through water or another liquid or viscous substance.,"Old English wadan 'to go, advance.'",They waded through the stream.,Old English
waft,Rare,,Pass or cause to pass easily or gently through or as if through the air.,,"From Middle Dutch or Middle Low German wachten 'to guard, watch'.",,Germanic
wend,Rare,,"Go in a specified direction, typically slowly or by an indirect route.",,"From Old English wendan 'to turn, go'.",,Old English
wheedle,Rare,verb,To employ endearments or flattery to persuade someone to do something or give one something.,To influence or entice by soft words or flattery.,"Of uncertain origin, perhaps from Old English.",She managed to wheedle another piece of cake from her mother.,Old English
whim,Uncommon,noun,A sudden desire or change of mind.,"A sudden desire or change of mind, especially one that is unusual or unexplained.","Origin unknown, perhaps from whim-wham 'fanciful object.'",She left on a whim.,Other
winsome,Rare,adjective,Attractive or appealing in appearance or character.,Fresh and innocently charming,"From Old English wynsum, from wynn ‘joy’.",She had a winsome smile.,Old English
wistful,Rare,adjective,Having or showing a feeling of vague or regretful longing.,,From wistly ‘attentively’.,She cast a wistful glance at the departing train.,Other
witty,Uncommon,adjective,Showing or characterized by quick and inventive verbal humor.,,From wit + -y.,She made a witty remark.,Other
yarn,Uncommon,noun,"A long, often elaborate narrative of real or fictitious adventures.","A long or rambling story, especially one that is implausible.",Old English gearn 'spun fiber.',He spun a yarn about his travels.,Old English
yearning,Uncommon,,A feeling of intense longing for something.,,"From Old English giernan, from georn 'eager'.",,Old English
yelp,Uncommon,verb,"Utter a short, sharp cry.","A short sharp cry, especially of pain or alarm.",From Old English gielpan 'to boast.',The dog yelped in surprise.,Old English
yokel,Rare,noun,An uneducated and unsophisticated person from the countryside.,A naive or gullible inhabitant of a rural area or small town.,"Of unknown origin, first recorded in the 19th century.",The city folk looked down on the yokel.,Other
yonder,Uncommon,adverb,At some distance in the direction indicated.,At some distance in the direction indicated; over there.,"From Old English geond 'over, beyond.'",The mountains yonder are beautiful.,Old English
zany,Uncommon,adjective,Amusingly unconventional and idiosyncratic.,,From Italian zanni 'comic figure.',He wore a zany costume to the party.,Other
zeal,Uncommon,noun,Great energy or enthusiasm.,Great energy or enthusiasm in pursuit of a cause or an objective.,From Greek zēlos 'ardor.',She worked with great zeal.,Greek
zealot,Rare,noun,"A person who is fanatical and uncompromising in pursuit of their religious, political, or other ideals.",One who is zealous on behalf of a cause,"From Greek zēlōtēs, from zēlos ‘zeal’.",He was a zealot for environmental causes.,Greek
zephyr,Rare,noun,A soft gentle breeze.,A lightweight fabric or garment,"From Greek Zephuros, god of the west wind.",A zephyr cooled the hot summer air.,Greek
zest,Uncommon,noun,Great enthusiasm and energy.,,From French zeste 'orange or lemon peel.',She tackled the project with zest.,French
